total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
23928.07814429,0.00000000,23928.07814429,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23923.29200250,418.78740645,23504.50459605,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '418.78740645', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23799.70455919,0.00000000,23799.70455919,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23794.94482900,416.47639145,23378.46843755,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '416.47639145', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24230.24430469,0.00000000,24230.24430469,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24225.39856886,424.00188495,23801.39668391,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '424.00188495', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24000.49225249,0.00000000,24000.49225249,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23995.69131099,420.08238160,23575.60892939,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '420.08238160', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23834.36458421,0.00000000,23834.36458421,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23829.59776213,417.09693165,23412.50083048,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '417.09693165', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23612.31591008,0.00000000,23612.31591008,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23607.59304643,413.25056955,23194.34247688,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '413.25056955', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23697.03469352,0.00000000,23697.03469352,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23692.29539274,414.68881860,23277.60657414,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '414.68881860', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23670.35597466,0.00000000,23670.35597466,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23665.62150320,414.26625240,23251.35525080,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '414.26625240', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24407.87826877,0.00000000,24407.87826877,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24402.99619748,427.18123770,23975.81495978,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '427.18123770', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24212.21109471,0.00000000,24212.21109471,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24207.36791200,423.77848695,23783.58942505,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '423.77848695', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24311.62668105,0.00000000,24311.62668105,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24306.76436029,425.45306685,23881.31129344,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '425.45306685', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24044.00382149,0.00000000,24044.00382149,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24039.19461821,420.80528700,23618.38933121,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '420.80528700', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24105.46849032,0.00000000,24105.46849032,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24100.64768158,421.82076510,23678.82691648,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '421.82076510', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23888.76455091,0.00000000,23888.76455091,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
