trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240312-130000-001-001-611,O-20240312-160000-001-001-612,BUY,FLAT,0.000,11.639,1710248400000000000,2024-03-12 13:00:00+00:00,1710259200000000000,2024-03-12 16:00:00+00:00,10800000000000,4028.94,3925.46,['37.03250464 USDT'],-0.02568,-1241.43622464 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240315-030000-001-001-613,O-20240315-200000-001-001-614,SELL,FLAT,0.000,12.423,1710471600000000000,2024-03-15 03:00:00+00:00,1710532800000000000,2024-03-15 20:00:00+00:00,61200000000000,3724.84,3632.19,['36.55855348 USDT'],0.02487,1114.43239652 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240320-160000-001-001-615,O-20240320-180000-001-001-616,SELL,FLAT,0.000,14.439,1710950400000000000,2024-03-20 16:00:00+00:00,1710957600000000000,2024-03-20 18:00:00+00:00,7200000000000,3243.41,3400.66,['38.37349070 USDT'],-0.04848,-2308.90624070 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240325-150000-001-001-617,O-20240327-140000-001-001-618,BUY,FLAT,0.000,12.743,1711378800000000000,2024-03-25 15:00:00+00:00,1711548000000000000,2024-03-27 14:00:00+00:00,169200000000000,3584.48,3562.1,['36.42754758 USDT'],-0.00624,-321.61588758 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240402-030000-001-001-619,O-20240402-140000-001-001-620,SELL,FLAT,0.000,13.515,1712026800000000000,2024-04-02 03:00:00+00:00,1712066400000000000,2024-04-02 14:00:00+00:00,39600000000000,3367.81,3294.81,['36.01812372 USDT'],0.02168,950.57687628 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240404-190000-001-001-621,O-20240407-230000-001-001-622,SELL,FLAT,0.000,13.656,1712257200000000000,2024-04-04 19:00:00+00:00,1712530800000000000,2024-04-07 23:00:00+00:00,273600000000000,3367.84,3455.99,['37.27448900 USDT'],-0.02617,-1241.05088900 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240408-000000-001-001-623,O-20240408-040000-001-001-624,BUY,FLAT,0.000,13.224,1712534400000000000,2024-04-08 00:00:00+00:00,1712548800000000000,2024-04-08 04:00:00+00:00,14400000000000,3431.02,3421.31,['36.24608477 USDT'],-0.00283,-164.65112477 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240408-140000-001-001-625,O-20240408-180000-001-001-626,SELL,FLAT,0.000,12.413,1712584800000000000,2024-04-08 14:00:00+00:00,1712599200000000000,2024-04-08 18:00:00+00:00,14400000000000,3648.4,3694.32,['36.45807334 USDT'],-0.01259,-606.46303334 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240410-130000-001-001-627,O-20240410-150000-001-001-628,SELL,FLAT,0.000,12.986,1712754000000000000,2024-04-10 13:00:00+00:00,1712761200000000000,2024-04-10 15:00:00+00:00,7200000000000,3464.0,3481.08,['36.07552355 USDT'],-0.00493,-257.87640355 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240418-130000-001-001-629,O-20240418-150000-001-001-630,SELL,FLAT,0.000,14.718,1713445200000000000,2024-04-18 13:00:00+00:00,1713452400000000000,2024-04-18 15:00:00+00:00,7200000000000,3047.72,3066.99,['35.99852071 USDT'],-0.00632,-319.61438071 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240427-010000-001-001-631,O-20240427-140000-001-001-632,SELL,FLAT,0.000,14.452,1714179600000000000,2024-04-27 01:00:00+00:00,1714226400000000000,2024-04-27 14:00:00+00:00,46800000000000,3092.7,3149.0,['36.08201936 USDT'],-0.0182,-849.72961936 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240501-200000-001-001-633,O-20240506-110000-001-001-634,BUY,FLAT,0.000,15.061,1714593600000000000,2024-05-01 20:00:00+00:00,1714993200000000000,2024-05-06 11:00:00+00:00,399600000000000,2939.39,3147.89,['36.67220964 USDT'],0.07093,3103.54629036 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240508-210000-001-001-635,O-20240509-010000-001-001-636,SELL,FLAT,0.000,15.425,1715202000000000000,2024-05-08 21:00:00+00:00,1715216400000000000,2024-05-09 01:00:00+00:00,14400000000000,2970.78,2996.35,['36.81719210 USDT'],-0.00861,-431.23444210 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240509-140000-001-001-637,O-20240509-160000-001-001-638,SELL,FLAT,0.000,15.274,1715263200000000000,2024-05-09 14:00:00+00:00,1715270400000000000,2024-05-09 16:00:00+00:00,7200000000000,2985.95,2993.3,['36.53082580 USDT'],-0.00246,-148.79472580 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240513-090000-001-001-639,O-20240513-190000-001-001-640,BUY,FLAT,0.000,15.256,1715590800000000000,2024-05-13 09:00:00+00:00,1715626800000000000,2024-05-13 19:00:00+00:00,36000000000000,2984.67,2955.69,['36.25045287 USDT'],-0.00971,-478.36933287 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240517-160000-001-001-641,O-20240520-180000-001-001-642,SELL,FLAT,0.000,14.636,1715961600000000000,2024-05-17 16:00:00+00:00,1716228000000000000,2024-05-20 18:00:00+00:00,266400000000000,3094.68,3147.04,['36.54152557 USDT'],-0.01692,-802.88248557 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240520-200000-001-001-643,O-20240523-130000-001-001-644,BUY,FLAT,0.000,12.823,1716235200000000000,2024-05-20 20:00:00+00:00,1716469200000000000,2024-05-23 13:00:00+00:00,234000000000000,3500.83,3784.32,['37.36699138 USDT'],0.08098,3597.82527862 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240526-160000-001-001-645,O-20240526-170000-001-001-646,SELL,FLAT,0.000,12.077,1716739200000000000,2024-05-26 16:00:00+00:00,1716742800000000000,2024-05-26 17:00:00+00:00,3600000000000,3866.01,3846.29,['37.25657884 USDT'],0.0051,200.90186116 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240531-140000-001-001-647,O-20240602-010000-001-001-648,SELL,FLAT,0.000,12.393,1717164000000000000,2024-05-31 14:00:00+00:00,1717290000000000000,2024-06-02 01:00:00+00:00,126000000000000,3775.67,3826.11,['37.68354381 USDT'],-0.01336,-662.78646381 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240603-140000-001-001-649,O-20240605-200000-001-001-650,SELL,FLAT,0.000,12.320,1717423200000000000,2024-06-03 14:00:00+00:00,1717617600000000000,2024-06-05 20:00:00+00:00,194400000000000,3771.12,3865.91,['37.63528384 USDT'],-0.02514,-1205.44808384 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240607-130000-001-001-651,O-20240614-220000-001-001-652,SELL,FLAT,0.000,12.013,1717765200000000000,2024-06-07 13:00:00+00:00,1718402400000000000,2024-06-14 22:00:00+00:00,637200000000000,3817.28,3483.84,['35.08334183 USDT'],0.08735,3970.53137817 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240618-020000-001-001-653,O-20240618-050000-001-001-654,SELL,FLAT,0.000,13.959,1718676000000000000,2024-06-18 02:00:00+00:00,1718686800000000000,2024-06-18 05:00:00+00:00,10800000000000,3427.53,3443.44,['38.36474809 USDT'],-0.00464,-260.45243809 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240626-200000-001-001-655,O-20240627-010000-001-001-656,BUY,FLAT,0.000,14.071,1719432000000000000,2024-06-26 20:00:00+00:00,1719450000000000000,2024-06-27 01:00:00+00:00,18000000000000,3390.93,3378.92,['38.10342374 USDT'],-0.00354,-207.09613374 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240630-080000-001-001-657,O-20240701-030000-001-001-658,BUY,FLAT,0.000,14.030,1719734400000000000,2024-06-30 08:00:00+00:00,1719802800000000000,2024-07-01 03:00:00+00:00,68400000000000,3393.49,3497.27,['38.67094512 USDT'],0.03058,1417.36245488 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240704-020000-001-001-659,O-20240708-030000-001-001-660,SELL,FLAT,0.000,14.971,1720058400000000000,2024-07-04 02:00:00+00:00,1720407600000000000,2024-07-08 03:00:00+00:00,349200000000000,3227.43,2877.9,['36.56115817 USDT'],0.1083,5196.25247183 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240708-150000-001-001-661,O-20240708-160000-001-001-662,SELL,FLAT,0.000,17.154,1720450800000000000,2024-07-08 15:00:00+00:00,1720454400000000000,2024-07-08 16:00:00+00:00,3600000000000,2968.22,2970.44,['40.74870945 USDT'],-0.00075,-78.83058945 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240711-150000-001-001-663,O-20240713-230000-001-001-664,SELL,FLAT,0.000,16.324,1720710000000000000,2024-07-11 15:00:00+00:00,1720911600000000000,2024-07-13 23:00:00+00:00,201600000000000,3116.66,3174.01,['41.07555884 USDT'],-0.0184,-977.25695884 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240714-000000-001-001-665,O-20240714-090000-001-001-666,SELL,FLAT,0.000,15.817,1720915200000000000,2024-07-14 00:00:00+00:00,1720947600000000000,2024-07-14 09:00:00+00:00,32400000000000,3185.69,3211.52,['40.47386823 USDT'],-0.00811,-449.02697823 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240714-220000-001-001-667,O-20240718-150000-001-001-668,BUY,FLAT,0.000,15.460,1720994400000000000,2024-07-14 22:00:00+00:00,1721314800000000000,2024-07-18 15:00:00+00:00,320400000000000,3244.64,3387.26,['41.01166960 USDT'],0.04396,2163.89353040 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240720-180000-001-001-669,O-20240721-080000-001-001-670,BUY,FLAT,0.000,14.520,1721498400000000000,2024-07-20 18:00:00+00:00,1721548800000000000,2024-07-21 08:00:00+00:00,50400000000000,3529.3,3486.53,['40.74794064 USDT'],-0.01212,-661.76834064 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240721-170000-001-001-671,O-20240721-180000-001-001-672,BUY,FLAT,0.000,14.685,1721581200000000000,2024-07-21 17:00:00+00:00,1721584800000000000,2024-07-21 18:00:00+00:00,3600000000000,3467.18,3462.2,['40.70317812 USDT'],-0.00144,-113.83447812 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240727-160000-001-001-673,O-20240729-030000-001-001-674,SELL,FLAT,0.000,15.549,1722096000000000000,2024-07-27 16:00:00+00:00,1722222000000000000,2024-07-29 03:00:00+00:00,126000000000000,3270.86,3348.01,['41.16672386 USDT'],-0.02359,-1240.77207386 USDT,True
