total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
24409.31651348,427.24292730,23982.07358618,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '427.24292730', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
26545.13545383,0.00000000,26545.13545383,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
26539.82655257,464.52886060,26075.29769197,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '464.52886060', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35718.37547817,0.00000000,35718.37547817,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35711.23197862,625.05621080,35086.17576782,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '625.05621080', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35637.21902198,0.00000000,35637.21902198,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35630.09139076,623.66773140,35006.42365936,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '623.66773140', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35761.56013593,0.00000000,35761.56013593,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35754.40773953,625.83468500,35128.57305453,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '625.83468500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35659.48750431,0.00000000,35659.48750431,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35652.35584994,624.01975720,35028.33609274,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '624.01975720', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35614.85842674,0.00000000,35614.85842674,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35607.73526612,623.27655390,34984.45871222,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '623.27655390', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35191.68155869,0.00000000,35191.68155869,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35184.64328039,615.84935125,34568.79392914,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '615.84935125', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
35553.92991189,0.00000000,35553.92991189,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
35546.81897715,622.20678975,34924.61218740,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '622.20678975', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
